LV	XP TNL	TOTAL XP
0	2000	0
1	2500	2000
2	3500	4500
3	5000	8000
4	7000	13000
5	9500	20000
6	12500	29500
7	16000	42000
8	20000	58000
9	24500	78000
10	29500	102500
11	35000	132000
12	41000	167000
13	47500	208000
14	54500	255500
15	62000	310000
16	70000	372000
17	78500	442000
18	87500	520500
19	97000	608000
20	107000	705000
21	117500	812000
22	128500	929500
23	140000	1058000
24	152000	1198000
25	164500	1350000
26	177500	1514500
27	191000	1692000
28	205000	1883000
29	219500	2088000
30	234500	2307500
31	250000	2542000
32	266000	2792000
33	282500	3058000
34	299500	3340500
35	317000	3640000
36	335000	3957000
37	353500	4292000
38	372500	4645500
39	392000	5018000
40	412000	5410000
41	432500	5822000
42	453500	6254500
43	475000	6708000
44	497000	7183000
45	519500	7680000
46	542500	8199500
47	566000	8742000
48	590000	9308000
49	614500	9898000
50	639500	10512500
51	665000	11152000
52	691000	11817000
53	717500	12508000
54	744500	13225500
55	772000	13970000
56	800000	14742000
57	828500	15542000
58	857500	16370500
59	887000	17228000
60	917000	18115000
61	947500	19032000
62	978500	19979500
63	1010000	20958000
64	1042000	21968000
65	1074500	23010000
66	1107500	24084500
67	1141000	25192000
68	1175000	26333000
69	1209500	27508000
70	1244500	28717500
71	1280000	29962000
72	1316000	31242000
73	1352500	32558000
74	1389500	33910500
75	1427000	35300000
76	1465000	36727000
77	1503500	38192000
78	1542500	39695500
79	1582000	41238000
80	1622000	42820000
81	1662500	44442000
82	1703500	46104500
83	1745000	47808000
84	1787000	49553000
85	1829500	51340000
86	1872500	53169500
87	1916000	55042000
88	1960000	56958000
89	2004500	58918000
90	2049500	60922500
91	2095000	62972000
92	2141000	65067000
93	2187500	67208000
94	2234500	69395500
95	2282000	71630000
96	2330000	73912000
97	2378500	76242000
98	2427500	78620500
99	2477000	81048000
100	???	83525000
